movieCd,rank,audiAcc
20195002,1,1050331
20181434,2,1838581
20191029,3,3491859
20192083,4,2310267
20197721,5,126377
20197279,6,319305
20198421,7,104508
20190280,8,612008
20196284,9,34608
20199950,10,5239867
20191589,6,1432023
20193801,8,46343
20195920,9,2918537
20192589,7,28884
20196136,8,92238
20198184,10,11152
20184483,6,1224921
20185361,7,169448
20197054,8,32728
20198961,9,10727
19910247,10,11743
20191183,6,375620
20194223,7,19205
20193601,8,1125481
20183407,9,11161
20196380,6,58604
20195941,7,90886
20197691,8,17510
20184243,9,16827
20199446,10,270172
20194456,5,542651
20188750,6,4556694
20192982,10,508767
20184572,6,2212819
20193807,7,292246
20187322,9,1166190
20195968,10,44682
20193821,6,558571
20192804,8,584467
20184621,9,9407843
20181103,10,93366
20181416,7,1225554
20194045,8,56299
20196850,9,3649860
20184543,10,1797796
20193665,7,440356
20184462,8,4767092
20194541,9,39817
20185985,10,632384
20194384,8,73250
20171021,9,194259
20198323,10,786502
20182241,7,189725
20183844,8,1100521
20191604,9,37839
20188404,6,85378
20180442,7,1602046
20187959,8,73851
20183867,10,12501428
20193275,5,274064
20175771,7,4684247
20191741,9,134529
20190741,10,29397
20182490,7,930998
20196309,8,7996657
20192725,9,214485
20190002,10,184741
20184047,8,3355808
20183782,9,10041845
20185353,6,278008
20185986,7,157393
20192222,8,43202
20191601,9,127100
20192151,10,69036
20199951,8,459037
20196655,9,913444
20198453,7,1076594
20190273,8,228366
20182585,9,199009
20192591,10,25000
20192022,9,37437
20196657,10,843703
20190885,8,46546
20182387,9,861032
20190466,10,31379
19880001,6,142372
20191401,7,30244
20198291,8,98703
20184889,10,13887813
20188941,6,3346654
20184865,7,352862
20199063,8,44189
20188144,10,133522
20184082,7,1618601
20199448,8,193949
20198597,9,65399
20199822,10,88511
20187981,6,270270
20198598,8,680420
20185784,9,1462434
20198183,7,752508
20185384,8,61163
20197503,10,19684
20197147,9,50816
20169323,10,25540
20183096,6,1191113
20181877,7,5796057
20060347,9,482408
20199736,10,10180
20183454,4,197125
20180825,5,279305
20198982,6,90320
19990220,8,49958
20176103,9,3388756
20198104,10,131698
20185406,4,311910
20182501,8,46139
20198844,10,83953
20196244,5,636971
20185352,6,1450902
20197423,7,87134
20183773,8,390548
20198403,10,67395
20196025,7,296253
20197092,8,46938
20198146,9,35223
20197846,6,254449
20175407,7,175481
20166301,8,26086
20197483,9,46858
20197283,4,544462
20197356,6,93476
20198603,7,24340
20197617,8,22534
20184574,9,409871
20196601,10,1143977
20182530,5,16243231
20185881,7,2519150
20177539,8,2389760
20196723,10,18305
20180937,7,133508
20177282,8,16489
20176442,9,168884
20195743,10,281705
20195791,7,70827
20186261,8,1498759
20188282,10,1946206
20195915,6,392397
20020222,8,79301
20185576,9,78303
20184888,10,199519
20174169,5,216254
20180868,8,1821147
20162003,9,83376
20185478,10,558144
20185444,6,71030
20184105,7,2848736
20185124,8,342366
20184896,10,87787
20176251,7,1910802
20189463,10,1754950
20182544,6,452460
20186324,7,176837
20185485,8,9910706
20189385,10,30571
20180290,6,5019235
20183915,7,379569
20182588,9,77985
20186281,8,1553491
20170658,9,1665200
20175547,10,1462873
20183785,7,521053
20184187,8,172338
20182421,10,543813
20168773,5,1787825
20183479,9,259753
20183238,10,628327
20177552,6,3723913
20179230,8,1546002
20183375,10,86997
20189843,5,408425
20182082,6,87501
20178825,8,262070
20183745,9,180709
20177538,10,5270621
20184481,7,1567264
20181905,9,276658
20176814,10,2403686
20183073,7,78439
20181171,8,229837
20183007,9,25172
20182966,10,20419
20183050,5,298402
20182935,8,71407
20182669,9,24325
20186822,10,48910
20170513,5,445625
20189869,10,15745
20174981,5,1588443
20010291,6,259733
20179006,7,55997
20181404,8,211233
20180523,9,458917
20182693,10,21400
20180987,6,90492
20179189,7,3777611
20189067,8,710780
20182403,10,147806
20186321,3,630470
20177221,5,3851409
20189123,10,486038
20176122,7,5413370
20184678,8,29890
20187521,9,25631
20180628,10,12152
20180770,7,34822
20189462,8,83846
20177308,9,1953273
20188661,10,21620
20172204,6,2066465
20167903,7,439910
20189262,9,1007366
20185046,10,2944333
20188304,7,151054
20189268,8,89501
20180167,9,42980
20189746,10,35688
20156554,6,702096
20153446,8,2812226
20188581,10,169814
20189362,5,178153
20177537,6,760945
20181942,7,2280120
20186202,8,12264813
20179101,9,4968325
20170670,8,2512159
20189261,9,41977
20187647,10,258016
20181181,9,6567099
20139221,10,3262924
20184802,7,1023630
20183584,8,515536
20187657,10,51350
20187641,8,138640
20187427,9,377257
20186501,10,854230
20183361,8,2998015
20185242,9,667879
20186121,10,123887
20170942,6,891308
20180522,9,5444801
20185341,10,3188405
20181443,7,999978
20188042,9,136885
20186001,10,63047
20185621,6,64950
20180282,7,212507
20184845,8,306647
20174369,9,480256
20178161,6,3132986
20172469,8,310759
20185001,9,124908
20182564,10,24419
20179086,6,5644952
20184721,7,208131
20184903,9,1326792
20179383,8,5053105
20184101,10,88662
20185081,7,213596
20184689,8,23712
20090834,9,13325055
20184801,10,167760
20135305,7,173368
20176848,8,3777696
20184512,10,12415
20177478,7,11176953
20184261,8,27390
20183801,9,309313
20173202,10,521670
20180789,5,202950
20183084,7,364637
20173865,8,41906
20176053,9,30268
20182046,10,106529
20177005,9,765736
20184513,10,13114
20189783,6,1117539
20183321,8,13924
20182561,9,97632
20176067,10,37969
